Mes,Capital_pendiente,Cuota_mensual,Amortizacion_mensual,Intereses_mensuales
157,115211.28170656746,666.6666666666666,474.64786382238754,192.0188028442791
158,114736.63384274507,666.6666666666666,475.43894359542486,191.22772307124177
159,114261.19489914965,666.6666666666666,476.23134183475054,190.4353248319161
160,113784.9635573149,666.6666666666666,477.0250607378085,189.64160592885816
161,113307.93849657709,666.6666666666666,477.8201025057048,188.8465641609618
162,112830.11839407138,666.6666666666666,478.61646934321436,188.0501973234523
163,112351.50192472817,666.6666666666666,479.41416345878633,187.2525032078803
164,111872.08776126939,666.6666666666666,480.213187064551,186.45347960211564
165,111391.87457420483,666.6666666666666,481.01354237632523,185.6531242903414
166,110910.8610318285,666.6666666666666,481.8152316136191,184.8514350530475
167,110429.04580021488,666.6666666666666,482.61825699964186,184.0484096670248
168,109946.42754321524,666.6666666666666,483.42262076130794,183.24404590535872
169,109463.00492245393,666.6666666666666,484.22832512924344,182.4383415374232
170,108978.77659732469,666.6666666666666,485.0353723377922,181.63129432887447
171,108493.7412249869,666.6666666666666,485.8437646250218,180.82290204164482
172,108007.89746036187,666.6666666666666,486.65350423273014,180.01316243393646
173,107521.24395612914,666.6666666666666,487.4645934064514,179.20207326021523
174,107033.7793627227,666.6666666666666,488.2770343954621,178.38963227120448
175,106545.50232832723,666.6666666666666,489.09082945278794,177.5758372138787
176,106056.41149887444,666.6666666666666,489.9059808352092,176.7606858314574
177,105566.50551803924,666.6666666666666,490.7224908032679,175.94417586339873
178,105075.78302723597,666.6666666666666,491.54036162127335,175.12630504539328
179,104584.2426656147,666.6666666666666,492.3595955573088,174.30707110935782
180,104091.88307005739,666.6666666666666,493.1801948832376,173.48647178342898
181,103598.70287517415,666.6666666666666,494.0021618747097,172.66450479195692
182,103104.70071329943,666.6666666666666,494.82549881116756,171.84116785549907
183,102609.87521448826,666.6666666666666,495.6502079758528,171.01645869081378
184,102114.22500651241,666.6666666666666,496.4762916558126,170.190375010854
185,101617.7487148566,666.6666666666666,497.30375214190565,169.362914524761
186,101120.4449627147,666.6666666666666,498.1325917288088,168.53407493785784
187,100622.31237098589,666.6666666666666,498.96281271502346,167.70385395164314
188,100123.34955827087,666.6666666666666,499.79441740288183,166.8722492637848
189,99623.55514086799,666.6666666666666,500.6274080985533,166.03925856811333
190,99122.92773276943,666.6666666666666,501.46178711205096,165.2048795546157
